City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Lingao,CN,2021-01-28 21:15:53,19.9103,109.6859,62.76,83,11,11.3
218,Prado,BR,2021-01-28 21:14:02,-17.3411,-39.2208,78.6,77,6,8.12
219,Mugur-Aksy,RU,2021-01-28 21:15:53,50.35,90.5,4.62,85,32,7.31
220,Sao Filipe,CV,2021-01-28 21:15:53,14.8961,-24.4956,73.94,67,0,4.5
221,Puerto Madryn,AR,2021-01-28 21:15:53,-42.7692,-65.0385,74.44,23,99,17.69
222,Goodyear,US,2021-01-28 21:13:56,33.4353,-112.3582,69.01,21,75,8.05
223,Ibra,OM,2021-01-28 21:15:54,22.6906,58.5334,54.75,51,0,2.77
224,Metro,ID,2021-01-28 21:15:54,-5.1131,105.3067,72.7,94,100,6.51
225,Mehamn,NO,2021-01-28 21:15:54,71.0357,27.8492,21.2,73,0,21.85
226,Svetlogorsk,BY,2021-01-28 21:15:54,52.6333,29.7333,27.09,98,99,7.14
227,Tymovskoye,RU,2021-01-28 21:15:54,50.8456,142.655,-12.39,87,58,2.73
228,Port Blair,IN,2021-01-28 21:15:54,11.6667,92.75,78.44,83,4,6.8
229,Dera Ghazi Khan,PK,2021-01-28 21:15:54,30.0561,70.6348,48.92,41,0,2.21
230,Santa Cruz De La Palma,ES,2021-01-28 21:15:55,28.6835,-17.7642,66.0,88,75,5.75
231,Tashtyp,RU,2021-01-28 21:15:55,52.7939,89.8983,25.45,93,100,21.94
232,Pavlovsk,RU,2021-01-28 21:15:55,50.4578,40.1081,35.8,94,100,11.32
233,Mocuba,MZ,2021-01-28 21:15:55,-16.8392,36.9856,74.79,97,94,3.78
234,Pangnirtung,CA,2021-01-28 21:15:55,66.1451,-65.7125,-7.6,77,1,5.75
235,Eidfjord,NO,2021-01-28 21:15:55,60.4675,7.0719,1.0,77,33,1.99
236,Svetlyy,RU,2021-01-28 21:15:56,54.675,20.1347,28.4,93,75,6.71
237,Murgab,TM,2021-01-28 21:15:56,37.4966,61.9714,41.0,56,40,9.22
238,Viedma,AR,2021-01-28 21:15:35,-40.8135,-62.9967,75.0,36,52,7.96
239,Edgewater,US,2021-01-28 21:15:56,28.9889,-80.9023,57.99,58,20,20.71
240,Samarai,PG,2021-01-28 21:15:56,-10.6167,150.6667,81.23,77,80,4.32
241,Acarau,BR,2021-01-28 21:15:56,-2.8856,-40.12,81.66,74,97,16.53
242,Praya,CV,2021-01-28 21:12:41,14.9215,-23.5087,71.6,68,0,16.11
243,Vila Velha,BR,2021-01-28 21:13:35,-20.3297,-40.2925,82.4,74,0,18.41
244,Zarubino,RU,2021-01-28 21:15:57,42.63,131.0922,1.09,87,70,28.95
245,Gobabis,NA,2021-01-28 21:15:57,-22.45,18.9667,75.04,32,84,7.9
246,Tiarei,PF,2021-01-28 21:15:57,-17.5333,-149.3333,86.0,62,40,8.05
247,Noyabrsk,RU,2021-01-28 21:14:29,63.1994,75.4507,-20.61,87,100,5.93
248,Agadez,NE,2021-01-28 21:15:57,19.75,10.25,62.08,28,0,10.85
249,San Gavino Monreale,IT,2021-01-28 21:15:57,39.5514,8.7917,59.0,88,20,13.8
250,Skawina,PL,2021-01-28 21:15:58,49.9752,19.8287,34.0,100,75,9.22
251,Fortuna,US,2021-01-28 21:15:58,40.5982,-124.1573,48.99,93,40,10.36
252,Brekstad,NO,2021-01-28 21:15:58,63.687,9.6654,27.0,93,75,20.71
253,Meulaboh,ID,2021-01-28 21:15:58,4.1363,96.1285,75.18,88,100,4.52
254,Cabo San Lucas,MX,2021-01-28 21:15:58,22.8909,-109.9124,80.6,34,20,10.36
255,Talnakh,RU,2021-01-28 21:15:58,69.4865,88.3972,-33.54,74,0,5.08
256,Trinidad,BO,2021-01-28 21:13:51,-14.8333,-64.9,80.78,84,79,5.64
257,Areia Branca,BR,2021-01-28 21:15:58,-4.9561,-37.1369,82.53,70,75,20.2
258,Prince Rupert,CA,2021-01-28 21:15:59,54.3161,-130.3201,33.8,51,1,2.3
259,Boden,SE,2021-01-28 21:15:59,65.8252,21.6886,6.8,92,75,5.75
260,Sorland,NO,2021-01-28 21:15:59,67.667,12.6934,24.8,68,20,9.22
261,Faya,SA,2021-01-28 21:15:59,18.3851,42.4509,57.2,44,0,2.39
262,Zhanakorgan,KZ,2021-01-28 21:15:59,43.9098,67.2495,27.54,87,0,1.21
263,Berlevag,NO,2021-01-28 21:15:59,70.8578,29.0864,21.2,73,40,19.57
264,Zhigalovo,RU,2021-01-28 21:15:59,54.8097,105.1578,-31.97,79,36,3.83
265,Vila,PT,2021-01-28 21:16:00,42.0304,-8.1588,52.0,95,99,10.0
266,Homer,US,2021-01-28 21:16:00,59.6425,-151.5483,35.6,69,90,11.34
267,Cedar City,US,2021-01-28 21:16:00,37.6775,-113.0619,48.2,46,1,18.41
268,Caravelas,BR,2021-01-28 21:16:01,-17.7125,-39.2481,79.18,74,0,6.58
269,Kouango,CF,2021-01-28 21:16:01,4.9934,19.9619,83.97,37,100,1.81
270,Brae,GB,2021-01-28 21:16:01,60.3964,-1.353,30.2,74,20,9.22
271,Genhe,CN,2021-01-28 21:16:01,50.7833,121.5167,-32.15,82,59,1.14
272,Marawi,PH,2021-01-28 21:16:01,7.9986,124.2928,73.99,95,94,5.01
273,Pedernales,DO,2021-01-28 21:16:01,18.0384,-71.744,79.97,60,30,6.06
274,Boa Vista,BR,2021-01-28 21:16:01,2.8197,-60.6733,89.6,40,20,14.97
275,Narsaq,GL,2021-01-28 21:16:02,60.9167,-46.05,44.6,31,75,33.38
276,Victoria,HK,2021-01-28 21:11:51,22.2855,114.1577,60.01,56,4,1.01
277,Port Macquarie,AU,2021-01-28 21:11:09,-31.4333,152.9167,71.6,94,90,5.75
278,Awbari,LY,2021-01-28 21:16:02,26.5921,12.7805,48.61,47,0,3.76
279,Karratha,AU,2021-01-28 21:16:02,-20.7377,116.8463,82.44,73,0,8.68
280,Ribeira Grande,PT,2021-01-28 21:16:02,38.5167,-28.7,64.4,88,75,26.46
281,Teahupoo,PF,2021-01-28 21:16:02,-17.8333,-149.2667,86.0,62,40,8.05
282,Mazara Del Vallo,IT,2021-01-28 21:16:03,37.6641,12.588,57.2,94,20,16.11
283,Marica,BR,2021-01-28 21:11:38,-22.9194,-42.8186,89.6,61,20,13.8
284,Pozo Colorado,PY,2021-01-28 21:16:03,-23.4923,-58.7972,92.39,44,64,4.12
285,Walvis Bay,NA,2021-01-28 21:16:03,-22.9575,14.5053,66.2,82,0,5.75
286,Seydi,TM,2021-01-28 21:16:03,39.4816,62.9137,40.95,63,0,13.27
287,Umm Lajj,SA,2021-01-28 21:16:03,25.0213,37.2685,69.62,60,15,7.2
288,Coruripe,BR,2021-01-28 21:16:03,-10.1256,-36.1756,78.85,77,41,10.58
289,Tocopilla,CL,2021-01-28 21:11:53,-22.092,-70.1979,72.36,53,22,4.68
290,Bengkulu,ID,2021-01-28 21:16:04,-3.8004,102.2655,75.18,90,97,9.19
291,San Patricio,US,2021-01-28 21:16:04,28.017,-97.5169,64.4,42,1,9.22
292,Padang,ID,2021-01-28 21:14:57,-0.9492,100.3543,75.2,100,75,3.44
293,Huixtla,MX,2021-01-28 21:16:04,15.15,-92.4667,89.6,51,75,5.75
