City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Beira,MZ,80.29,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
510,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
514,Porto Walter,BR,84.99,few clouds,-8.2686,-72.7439,Secretaria de saúde
518,Buala,SB,83.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
529,Sorong,ID,78.48,overcast clouds,-0.8833,131.25,The Waigo Hotel
530,Sigli,ID,78.1,overcast clouds,5.3848,95.9609,Losmen Dua Mali
533,Yulara,AU,78.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
534,Waingapu,ID,78.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
541,Kavaratti,IN,80.22,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
543,Belmonte,BR,80.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
544,Vanimo,PG,78.82,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
546,Inirida,CO,85.26,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
557,Yeppoon,AU,77.0,scattered clouds,-23.1333,150.7333,Villa Mar Colina
560,Kirakira,SB,82.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
561,Caravelas,BR,77.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
566,Labuhan,ID,77.25,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
567,Kloulklubed,PW,80.94,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
569,Mareeba,AU,79.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
571,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
572,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
576,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
577,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
586,Sinnamary,GF,77.22,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
593,Chateaubelair,VC,78.8,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
596,Mangaratiba,BR,84.2,clear sky,-22.9597,-44.0406,Portobello Resort & Safari
600,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
606,Mucuri,BR,78.4,clear sky,-18.0864,-39.5508,La Bodeguita Pousada
607,Puerto Escondido,MX,84.52,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
608,Paka,MY,78.8,overcast clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
610,Lambarene,GA,77.27,moderate rain,-0.7001,10.2406,Le Refuge
611,Corbelia,BR,75.2,heavy intensity rain,-24.7989,-53.3067,Hotel Peroza
615,Road Town,VG,78.8,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
617,Charlestown,AU,75.0,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
621,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
624,Nouadhibou,MR,75.2,clear sky,20.930999999999997,-17.0347,El Medina
625,Brokopondo,SR,77.07,overcast clouds,4.75,-55.1667,Matu Island
636,Progreso,MX,82.4,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
