City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Swan Hill,AU,-35.3378,143.5544,68.27,72,2,9.42,clear sky
291,Coruripe,BR,-10.1256,-36.1756,78.48,79,100,10.02,overcast clouds
292,Wanlaweyn,SO,2.6185,44.8938,72.46,74,8,14.63,clear sky
293,Port Lincoln,AU,-34.7333,135.8667,62.92,67,64,11.18,broken clouds
294,Tura,IN,25.5198,90.2201,54.66,54,0,1.32,clear sky
295,Bonga,ET,7.2833,36.2333,63.7,65,13,1.36,few clouds
296,Zavyalovo,RU,54.5053,82.4484,19.4,79,20,8.95,few clouds
297,Vung Tau,VN,10.346,107.0843,72.63,77,100,8.25,overcast clouds
298,Manzhouli,CN,49.6,117.4333,-25.62,81,10,3.33,clear sky
299,Bam,IR,29.106,58.357,62.28,29,83,9.91,broken clouds
300,Port Augusta,AU,-32.5,137.7667,68.0,64,90,12.66,overcast clouds
301,Namibe,AO,-15.1961,12.1522,74.41,73,38,8.3,scattered clouds
302,Cabanbanan,PH,14.2404,121.4341,75.99,73,75,4.61,broken clouds
303,Margate,GB,51.3813,1.3862,46.99,84,98,1.01,light rain
304,Panalingaan,PH,8.7842,117.4231,76.03,80,47,4.9,scattered clouds
305,Clovis,US,36.8252,-119.7029,55.99,62,75,5.75,broken clouds
306,Munirabad,IN,15.3333,76.3333,68.63,66,50,7.43,scattered clouds
307,Tautira,PF,-17.7333,-149.15,86.0,66,20,12.66,moderate rain
308,Metu,ET,8.3,35.5833,60.87,67,66,1.9,broken clouds
309,Quatre Cocos,MU,-20.2078,57.7625,80.6,83,40,11.5,light rain
310,Khairagarh,IN,26.95,77.8167,46.98,52,0,5.12,clear sky
311,Viedma,AR,-40.8135,-62.9967,69.01,53,75,19.84,broken clouds
312,Odry,CZ,49.6626,17.8308,34.0,100,90,10.36,light rain
313,Jalu,LY,29.0331,21.5482,55.49,69,0,7.76,clear sky
314,Diamantino,BR,-14.4086,-56.4461,79.03,80,94,4.18,overcast clouds
315,Am Timan,TD,11.0297,20.2827,74.82,20,4,7.74,clear sky
316,Tsogni,GA,-2.7942,10.0988,77.56,90,100,5.28,light rain
317,Port Macquarie,AU,-31.4333,152.9167,72.0,99,90,5.59,overcast clouds
318,Katsuura,JP,35.1333,140.3,36.0,48,20,19.57,few clouds
319,Pisco,PE,-13.7,-76.2167,80.6,57,0,14.97,clear sky
320,Ngunguru,NZ,-35.6167,174.5,62.01,94,95,1.99,overcast clouds
321,Suclayin,PH,15.7568,121.5503,69.13,87,100,10.22,overcast clouds
322,Aykhal,RU,66.0,111.5,-35.01,81,89,7.45,overcast clouds
323,Zheshart,RU,62.0731,49.5733,20.34,97,100,7.87,overcast clouds
324,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,12.66,scattered clouds
325,Vao,NC,-22.6667,167.4833,75.67,76,97,22.28,overcast clouds
326,Rocha,UY,-34.4833,-54.3333,74.7,59,40,9.26,scattered clouds
327,Victoria,HK,22.2855,114.1577,59.0,70,0,20.85,clear sky
328,Codrington,AU,-38.2667,141.9667,60.76,80,100,11.27,overcast clouds
329,Longyearbyen,SJ,78.2186,15.6401,-2.2,60,20,20.71,few clouds
330,Yar-Sale,RU,66.8333,70.8333,-41.69,81,15,3.4,few clouds
331,Temiscaming,CA,46.7212,-79.0971,10.4,61,100,6.91,overcast clouds
332,Burgeo,CA,47.6167,-57.6152,26.2,88,64,15.08,broken clouds
333,Provideniya,RU,64.3833,-173.3,-7.28,82,92,7.67,overcast clouds
334,Sagarejo,GE,41.734,45.3315,39.2,81,90,4.61,overcast clouds
335,Campos Novos,BR,-27.4017,-51.225,68.41,99,49,2.82,scattered clouds
336,Sohag,EG,26.557,31.6948,51.8,58,0,5.75,clear sky
337,Tecoanapa,MX,16.5167,-98.75,83.86,54,88,10.33,overcast clouds
338,Ekhabi,RU,53.5102,142.9671,-6.63,90,100,9.91,overcast clouds
339,Luanda,AO,-8.8368,13.2343,80.6,78,20,6.91,few clouds
340,Kankon,IN,15.0167,74.0167,73.4,83,30,3.44,mist
341,Ixtapa,MX,20.7,-105.2,77.0,73,20,14.97,few clouds
342,Burewala,PK,30.1667,72.65,50.99,38,0,2.13,clear sky
